text,intent,split,family
Kai nhặt chai nước,PICKUP_ITEM,train,template-0
Kai nhặt đèn pin,PICKUP_ITEM,train,template-0
Kai nhặt khẩu súng,PICKUP_ITEM,train,template-0
Kai nhặt cuộn băng,PICKUP_ITEM,train,template-0
Kai nhặt chìa khóa,PICKUP_ITEM,train,template-0
Kai nhặt bộ sơ cứu,PICKUP_ITEM,train,template-0
Kai nhặt viên pin,PICKUP_ITEM,train,template-0
Kai nhặt mặt nạ,PICKUP_ITEM,train,template-0
nhặt chai nước lên,PICKUP_ITEM,train,template-1
nhặt đèn pin lên,PICKUP_ITEM,train,template-1
nhặt khẩu súng lên,PICKUP_ITEM,train,template-1
nhặt cuộn băng lên,PICKUP_ITEM,train,template-1
nhặt chìa khóa lên,PICKUP_ITEM,train,template-1
nhặt bộ sơ cứu lên,PICKUP_ITEM,train,template-1
nhặt viên pin lên,PICKUP_ITEM,train,template-1
nhặt mặt nạ lên,PICKUP_ITEM,train,template-1
lượm chai nước dưới sàn,PICKUP_ITEM,train,template-2
lượm đèn pin dưới sàn,PICKUP_ITEM,train,template-2
lượm khẩu súng dưới sàn,PICKUP_ITEM,train,template-2
lượm cuộn băng dưới sàn,PICKUP_ITEM,train,template-2
lượm chìa khóa dưới sàn,PICKUP_ITEM,train,template-2
lượm bộ sơ cứu dưới sàn,PICKUP_ITEM,train,template-2
lượm viên pin dưới sàn,PICKUP_ITEM,train,template-2
lượm mặt nạ dưới sàn,PICKUP_ITEM,train,template-2
Kai vứt chai nước xuống,DROP_ITEM,train,template-0
Kai vứt đèn pin xuống,DROP_ITEM,train,template-0
Kai vứt khẩu súng xuống,DROP_ITEM,train,template-0
Kai vứt cuộn băng xuống,DROP_ITEM,train,template-0
Kai vứt chìa khóa xuống,DROP_ITEM,train,template-0
Kai vứt bộ sơ cứu xuống,DROP_ITEM,train,template-0
Kai vứt viên pin xuống,DROP_ITEM,train,template-0
Kai vứt mặt nạ xuống,DROP_ITEM,train,template-0
thả chai nước ra,DROP_ITEM,train,template-1
thả đèn pin ra,DROP_ITEM,train,template-1
thả khẩu súng ra,DROP_ITEM,train,template-1
thả cuộn băng ra,DROP_ITEM,train,template-1
thả chìa khóa ra,DROP_ITEM,train,template-1
thả bộ sơ cứu ra,DROP_ITEM,train,template-1
thả viên pin ra,DROP_ITEM,train,template-1
thả mặt nạ ra,DROP_ITEM,train,template-1
bỏ chai nước xuống đất,DROP_ITEM,train,template-2
bỏ đèn pin xuống đất,DROP_ITEM,train,template-2
bỏ khẩu súng xuống đất,DROP_ITEM,train,template-2
bỏ cuộn băng xuống đất,DROP_ITEM,train,template-2
bỏ chìa khóa xuống đất,DROP_ITEM,train,template-2
bỏ bộ sơ cứu xuống đất,DROP_ITEM,train,template-2
bỏ viên pin xuống đất,DROP_ITEM,train,template-2
bỏ mặt nạ xuống đất,DROP_ITEM,train,template-2
Kai dùng chai nước,USE_ITEM,train,template-0
Kai dùng đèn pin,USE_ITEM,train,template-0
Kai dùng khẩu súng,USE_ITEM,train,template-0
Kai dùng cuộn băng,USE_ITEM,train,template-0
Kai dùng chìa khóa,USE_ITEM,train,template-0
Kai dùng bộ sơ cứu,USE_ITEM,train,template-0
Kai dùng viên pin,USE_ITEM,train,template-0
Kai dùng mặt nạ,USE_ITEM,train,template-0
sử dụng chai nước,USE_ITEM,train,template-1
sử dụng đèn pin,USE_ITEM,train,template-1
sử dụng khẩu súng,USE_ITEM,train,template-1
sử dụng cuộn băng,USE_ITEM,train,template-1
sử dụng chìa khóa,USE_ITEM,train,template-1
sử dụng bộ sơ cứu,USE_ITEM,train,template-1
sử dụng viên pin,USE_ITEM,train,template-1
sử dụng mặt nạ,USE_ITEM,train,template-1
hãy dùng chai nước ngay,USE_ITEM,train,template-2
hãy dùng đèn pin ngay,USE_ITEM,train,template-2
hãy dùng khẩu súng ngay,USE_ITEM,train,template-2
hãy dùng cuộn băng ngay,USE_ITEM,train,template-2
hãy dùng chìa khóa ngay,USE_ITEM,train,template-2
hãy dùng bộ sơ cứu ngay,USE_ITEM,train,template-2
hãy dùng viên pin ngay,USE_ITEM,train,template-2
hãy dùng mặt nạ ngay,USE_ITEM,train,template-2
Kai đưa Iris một chai nước,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một chai nước,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một chai nước,TRANSFER_ITEM,train,template-0
Kai đưa Iris một đèn pin,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một đèn pin,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một đèn pin,TRANSFER_ITEM,train,template-0
Kai đưa Iris một khẩu súng,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một khẩu súng,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một khẩu súng,TRANSFER_ITEM,train,template-0
Kai đưa Iris một cuộn băng,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một cuộn băng,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một cuộn băng,TRANSFER_ITEM,train,template-0
Kai đưa Iris một chìa khóa,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một chìa khóa,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một chìa khóa,TRANSFER_ITEM,train,template-0
Kai đưa Iris một bộ sơ cứu,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một bộ sơ cứu,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một bộ sơ cứu,TRANSFER_ITEM,train,template-0
Kai đưa Iris một viên pin,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một viên pin,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một viên pin,TRANSFER_ITEM,train,template-0
Kai đưa Iris một mặt nạ,TRANSFER_ITEM,train,template-0
Kai đưa Syvial một mặt nạ,TRANSFER_ITEM,train,template-0
Kai đưa người đàn ông một mặt nạ,TRANSFER_ITEM,train,template-0
trang bị chai nước,EQUIP_ITEM,train,template-0
trang bị đèn pin,EQUIP_ITEM,train,template-0
trang bị khẩu súng,EQUIP_ITEM,train,template-0
trang bị cuộn băng,EQUIP_ITEM,train,template-0
trang bị chìa khóa,EQUIP_ITEM,train,template-0
trang bị bộ sơ cứu,EQUIP_ITEM,train,template-0
trang bị viên pin,EQUIP_ITEM,train,template-0
trang bị mặt nạ,EQUIP_ITEM,train,template-0
Kai đeo chai nước,EQUIP_ITEM,train,template-1
Kai đeo đèn pin,EQUIP_ITEM,train,template-1
Kai đeo khẩu súng,EQUIP_ITEM,train,template-1
Kai đeo cuộn băng,EQUIP_ITEM,train,template-1
Kai đeo chìa khóa,EQUIP_ITEM,train,template-1
Kai đeo bộ sơ cứu,EQUIP_ITEM,train,template-1
Kai đeo viên pin,EQUIP_ITEM,train,template-1
Kai đeo mặt nạ,EQUIP_ITEM,train,template-1
Kai mặc chai nước,EQUIP_ITEM,train,template-2
Kai mặc đèn pin,EQUIP_ITEM,train,template-2
Kai mặc khẩu súng,EQUIP_ITEM,train,template-2
Kai mặc cuộn băng,EQUIP_ITEM,train,template-2
Kai mặc chìa khóa,EQUIP_ITEM,train,template-2
Kai mặc bộ sơ cứu,EQUIP_ITEM,train,template-2
Kai mặc viên pin,EQUIP_ITEM,train,template-2
Kai mặc mặt nạ,EQUIP_ITEM,train,template-2
tháo chai nước ra,UNEQUIP_ITEM,train,template-0
tháo đèn pin ra,UNEQUIP_ITEM,train,template-0
tháo khẩu súng ra,UNEQUIP_ITEM,train,template-0
tháo cuộn băng ra,UNEQUIP_ITEM,train,template-0
tháo chìa khóa ra,UNEQUIP_ITEM,train,template-0
tháo bộ sơ cứu ra,UNEQUIP_ITEM,train,template-0
tháo viên pin ra,UNEQUIP_ITEM,train,template-0
tháo mặt nạ ra,UNEQUIP_ITEM,train,template-0
cởi chai nước,UNEQUIP_ITEM,train,template-1
cởi đèn pin,UNEQUIP_ITEM,train,template-1
cởi khẩu súng,UNEQUIP_ITEM,train,template-1
cởi cuộn băng,UNEQUIP_ITEM,train,template-1
cởi chìa khóa,UNEQUIP_ITEM,train,template-1
cởi bộ sơ cứu,UNEQUIP_ITEM,train,template-1
cởi viên pin,UNEQUIP_ITEM,train,template-1
cởi mặt nạ,UNEQUIP_ITEM,train,template-1
bỏ trang bị chai nước,UNEQUIP_ITEM,train,template-2
bỏ trang bị đèn pin,UNEQUIP_ITEM,train,template-2
bỏ trang bị khẩu súng,UNEQUIP_ITEM,train,template-2
